         #_time (fs)    site                 |m|                 m%x                 m%y                 m%z
      5.20000000E-03       2      1.00000000E+00     -2.17942693E-01     -7.74278439E-01      5.94132881E-01
      5.30000000E-03       1      1.00000000E+00      2.10296430E-01      7.76147843E-01      5.94449272E-01
      5.30000000E-03       2      1.00000000E+00     -2.10296430E-01     -7.76147843E-01      5.94449272E-01
      5.40000000E-03       1      1.00000000E+00      2.02630343E-01      7.77942651E-01      5.94765647E-01
      5.40000000E-03       2      1.00000000E+00     -2.02630343E-01     -7.77942651E-01      5.94765647E-01
      5.50000000E-03       1      1.00000000E+00      1.94945157E-01      7.79662613E-01      5.95082007E-01
      5.50000000E-03       2      1.00000000E+00     -1.94945157E-01     -7.79662613E-01      5.95082007E-01
      5.60000000E-03       1      1.00000000E+00      1.87241596E-01      7.81307486E-01      5.95398352E-01
      5.60000000E-03       2      1.00000000E+00     -1.87241596E-01     -7.81307486E-01      5.95398352E-01
      5.70000000E-03       1      1.00000000E+00      1.79520392E-01      7.82877033E-01      5.95714680E-01
      5.70000000E-03       2      1.00000000E+00     -1.79520392E-01     -7.82877033E-01      5.95714680E-01
      5.80000000E-03       1      1.00000000E+00      1.71782278E-01      7.84371025E-01      5.96030993E-01
      5.80000000E-03       2      1.00000000E+00     -1.71782278E-01     -7.84371025E-01      5.96030993E-01
      5.90000000E-03       1      1.00000000E+00      1.64027989E-01      7.85789240E-01      5.96347288E-01
      5.90000000E-03       2      1.00000000E+00     -1.64027989E-01     -7.85789240E-01      5.96347288E-01
      6.00000000E-03       1      1.00000000E+00      1.56258266E-01      7.87131464E-01      5.96663567E-01
      6.00000000E-03       2      1.00000000E+00     -1.56258266E-01     -7.87131464E-01      5.96663567E-01
      6.10000000E-03       1      1.00000000E+00      1.48473852E-01      7.88397488E-01      5.96979829E-01
      6.10000000E-03       2      1.00000000E+00     -1.48473852E-01     -7.88397488E-01      5.96979829E-01
      6.20000000E-03       1      1.00000000E+00      1.40675490E-01      7.89587112E-01      5.97296073E-01
      6.20000000E-03       2      1.00000000E+00     -1.40675490E-01     -7.89587112E-01      5.97296073E-01
      6.30000000E-03       1      1.00000000E+00      1.32863932E-01      7.90700142E-01      5.97612300E-01
      6.30000000E-03       2      1.00000000E+00     -1.32863932E-01     -7.90700142E-01      5.97612300E-01
      6.40000000E-03       1      1.00000000E+00      1.25039927E-01      7.91736393E-01      5.97928509E-01
      6.40000000E-03       2      1.00000000E+00     -1.25039927E-01     -7.91736393E-01      5.97928509E-01
      6.50000000E-03       1      1.00000000E+00      1.17204230E-01      7.92695685E-01      5.98244699E-01
      6.50000000E-03       2      1.00000000E+00     -1.17204230E-01     -7.92695685E-01      5.98244699E-01
      6.60000000E-03       1      1.00000000E+00      1.09357598E-01      7.93577847E-01      5.98560871E-01
      6.60000000E-03       2      1.00000000E+00     -1.09357598E-01     -7.93577847E-01      5.98560871E-01
      6.70000000E-03       1      1.00000000E+00      1.01500790E-01      7.94382716E-01      5.98877024E-01
      6.70000000E-03       2      1.00000000E+00     -1.01500790E-01     -7.94382716E-01      5.98877024E-01
      6.80000000E-03       1      1.00000000E+00      9.36345698E-02      7.95110136E-01      5.99193157E-01
      6.80000000E-03       2      1.00000000E+00     -9.36345698E-02     -7.95110136E-01      5.99193157E-01
      6.90000000E-03       1      1.00000000E+00      8.57597007E-02      7.95759956E-01      5.99509272E-01
      6.90000000E-03       2      1.00000000E+00     -8.57597007E-02     -7.95759956E-01      5.99509272E-01
      7.00000000E-03       1      1.00000000E+00      7.78769502E-02      7.96332036E-01      5.99825366E-01
      7.00000000E-03       2      1.00000000E+00     -7.78769502E-02     -7.96332036E-01      5.99825366E-01
      7.10000000E-03       1      1.00000000E+00      6.99870879E-02      7.96826241E-01      6.00141440E-01
      7.10000000E-03       2      1.00000000E+00     -6.99870879E-02     -7.96826241E-01      6.00141440E-01
      7.20000000E-03       1      1.00000000E+00      6.20908855E-02      7.97242447E-01      6.00457494E-01
      7.20000000E-03       2      1.00000000E+00     -6.20908855E-02     -7.97242447E-01      6.00457494E-01
      7.30000000E-03       1      1.00000000E+00      5.41891171E-02      7.97580534E-01      6.00773528E-01
      7.30000000E-03       2      1.00000000E+00     -5.41891171E-02     -7.97580534E-01      6.00773528E-01
      7.40000000E-03       1      1.00000000E+00      4.62825588E-02      7.97840391E-01      6.01089540E-01
      7.40000000E-03       2      1.00000000E+00     -4.62825588E-02     -7.97840391E-01      6.01089540E-01
      7.50000000E-03       1      1.00000000E+00      3.83719888E-02      7.98021915E-01      6.01405532E-01
      7.50000000E-03       2      1.00000000E+00     -3.83719888E-02     -7.98021915E-01      6.01405532E-01
      7.60000000E-03       1      1.00000000E+00      3.04581874E-02      7.98125011E-01      6.01721501E-01
      7.60000000E-03       2      1.00000000E+00     -3.04581874E-02     -7.98125011E-01      6.01721501E-01
      7.70000000E-03       1      1.00000000E+00      2.25419366E-02      7.98149592E-01      6.02037449E-01
      7.70000000E-03       2      1.00000000E+00     -2.25419366E-02     -7.98149592E-01      6.02037449E-01
      7.80000000E-03       1      1.00000000E+00      1.46240204E-02      7.98095577E-01      6.02353375E-01
